"Nomor","Keterangan","Nama Barang","Total Per Tahun","Label"
"1","Samarinda Oven 400 x 4 x 20","Samarinda Oven 400 x 4 x 20","292","SANGAT LARIS"
"2","Bangkirai 400 x 3 x 20","Bangkirai 400 x 3 x 20","12","KURANG LARIS"
"3","Bangkirai 400 x 6 x 15","Bangkirai 400 x 6 x 15","2","KURANG LARIS"
"4","Bangkirai 400 x 8 x 15","Bangkirai 400 x 8 x 15","2","KURANG LARIS"
"5","Bangkirai 500 x 6 x 15","Bangkirai 500 x 6 x 15","2","KURANG LARIS"
"6","Merbau Oven 250 x 4 x 25","Merbau Oven 250 x 4 x 25","97","KURANG LARIS"
"7","Merbau Oven 250 x 6 x 15","Merbau Oven 250 x 6 x 15","151","CUKUP LARIS"
"8","Merbau Oven 300 x 4 x 25","Merbau Oven 300 x 4 x 25","17","KURANG LARIS"
"9","Merbau Oven 300 x 4 x 30","Merbau Oven 300 x 4 x 30","12","KURANG LARIS"
"10","Merbau Oven 300 x 6 x 15","Merbau Oven 300 x 6 x 15","117","CUKUP LARIS"
"11","Merbau Oven 300 x 6 x 17","Merbau Oven 300 x 6 x 17","24","KURANG LARIS"
"12","Merbau Oven 350 x 6 x 15","Merbau Oven 350 x 6 x 15","3","KURANG LARIS"
"13","Merbau Oven 400 x 3 x 20","Merbau Oven 400 x 3 x 20","39","KURANG LARIS"
"14","Merbau Oven 400 x 3 x 25","Merbau Oven 400 x 3 x 25","36","KURANG LARIS"
"15","Merbau Oven 400 x 3 x 30","Merbau Oven 400 x 3 x 30","76","KURANG LARIS"
"16","Merbau Oven 400 x 3 x 35","Merbau Oven 400 x 3 x 35","16","KURANG LARIS"
"17","Merbau Oven 400 x 4 x 12","Merbau Oven 400 x 4 x 12","7","KURANG LARIS"
"18","Merbau Oven 400 x 4 x 20","Merbau Oven 400 x 4 x 20","36","KURANG LARIS"
"19","Merbau Oven 400 x 4 x 25","Merbau Oven 400 x 4 x 25","85","KURANG LARIS"
"20","Merbau Oven 400 x 4 x 30","Merbau Oven 400 x 4 x 30","30","KURANG LARIS"
"21","Merbau Oven 400 x 4 x 35","Merbau Oven 400 x 4 x 35","4","KURANG LARIS"
"22","Merbau Oven 400 x 5 x 15","Merbau Oven 400 x 5 x 15","52","KURANG LARIS"
"23","Merbau Oven 400 x 5 x 20","Merbau Oven 400 x 5 x 20","15","KURANG LARIS"
"24","Merbau Oven 400 x 5 x 25","Merbau Oven 400 x 5 x 25","29","KURANG LARIS"
"25","Merbau Oven 400 x 5 x 30","Merbau Oven 400 x 5 x 30","25","KURANG LARIS"
"26","Merbau Oven 400 x 5 x 35","Merbau Oven 400 x 5 x 35","12","KURANG LARIS"
"27","Merbau Oven 400 x 6 x 12","Merbau Oven 400 x 6 x 12","57","KURANG LARIS"
"28","Merbau Oven 400 x 6 x 15","Merbau Oven 400 x 6 x 15","115","CUKUP LARIS"
"29","Merbau Oven 400 x 6 x 17","Merbau Oven 400 x 6 x 17","22","KURANG LARIS"
"30","Merbau Oven 400 x 6 x 30","Merbau Oven 400 x 6 x 30","4","KURANG LARIS"
"31","Merbau Oven 400 x 6 x 35","Merbau Oven 400 x 6 x 35","5","KURANG LARIS"
"32","Merbau Oven 400 x 8 x 12","Merbau Oven 400 x 8 x 12","3","KURANG LARIS"
"33","Merbau Oven 400 x 8 x 15","Merbau Oven 400 x 8 x 15","18","KURANG LARIS"
