"Nomor","Keterangan","Jumlah","Volume","Harga","Jenis Barang","Label"
"1","Merbau Oven 500 x 3 x 35","4","0.21","1365000","Papan","Kurang Laris"
"2","Samarinda Oven 400 x 4 x 20","2","0.064","350400","Papan","Sangat Laris"
"3","Samarinda Oven 400 x 4 x 30","3","0.144","540000","Papan","Sangat Laris"
"4","Samarinda Oven 400 x 6 x 12","2","0.0576","300960","Balok","Sangat Laris"
"5","Samarinda Oven 400 x 6 x 17","1","0.0408","442680","Balok","Cukup Laris"
"6","SO Merah 400 x 6 x 15","2","0.072","331200","Balok","Kurang Laris"
"7","Samarinda Oven 400 x 3 x 25","1","0.03","324000","Papan","Sangat Laris"
"8","Samarinda Oven 400 x 3 x 30","1","0.036","396000","Papan","Sangat Laris"
"9","Samarinda Oven 400 x 4 x 20","2","0.064","342400","Papan","Sangat Laris"
"10","Samarinda Oven 500 x 4 x 25","1","0.05","540000","Papan","Sangat Laris"
"11","Merbau Basah 230 x 6 x 15","2","0.0414","457470","Balok","Cukup Laris"
"12","Merbau Oven 400 x 6 x 12","6","0.1728","650880","Balok","Cukup Laris"
"13","SO Merah 400 x 6 x 15","4","0.144","331200","Balok","Kurang Laris"
"14","Samarinda Oven 400 x 3 x 30","1","0.036","396000","Papan","Sangat Laris"
"15","Samarinda Oven 400 x 4 x 20","1","0.032","342400","Papan","Sangat Laris"
"16","Samarinda Oven 400 x 4 x 25","1","0.04","432000","Papan","Sangat Laris"
"17","Merbau Oven 400 x 5 x 15","1","0.03","693000","Balok","Kurang Laris"
"18","Merbau Oven 500 x 5 x 15","2","0.075","885000","Balok","Cukup Laris"
"19","Merbau Oven 400 x 4 x 15","2","0.048","566400","Papan","Kurang Laris"
"20","Samarinda Oven 400 x 4 x 25","6","0.24","432000","Papan","Sangat Laris"
"21","Merbau Oven 400 x 4 x 12","1","0.0192","453120","Papan","Kurang Laris"
"22","Merbau Oven 400 x 8 x 15","1","0.048","1108800","Balken","Kurang Laris"
"23","Merbau Basah 260 x 6 x 15","6","0.1404","517140","Balok","Cukup Laris"
"24","Merbau Basah 500 x 8 x 15","5","0.3","1392000","Balken","Kurang Laris"
"25","Merbau Basah 90 x 6 x 15","3","0.0243","167670","Balok","Cukup Laris"
"26","Samarinda Oven 500 x 6 x 17","1","0.051","581400","Balok","Cukup Laris"
"27","Samarinda Oven 400 x 5 x 20","1","0.04","440000","Balken","Kurang Laris"
"28","Samarinda Oven 400 x 5 x 30","4","0.24","672000","Balken","Kurang Laris"
"29","Samarinda Oven 400 x 3 x 20","1","0.024","256800","Papan","Kurang Laris"
"30","Merbau Oven 250 x 4 x 25","2","0.05","615000","Papan","Cukup Laris"
"31","Merbau Oven 300 x 4 x 25","3","0.09","738000","Papan","Kurang Laris"
"32","Merbau Oven 500 x 3 x 35","2","0.105","1365000","Papan","Kurang Laris"
"33","Merbau Basah 220 x 6 x 15","3","0.0594","437580","Balok","Kurang Laris"
"34","Merbau Basah 270 x 6 x 15","1","0.0243","537030","Balok","Kurang Laris"
"35","Merbau Oven 500 x 5 x 20","10","0.5","1260000","Balken","Kurang Laris"
"36","Merbau Oven 500 x 5 x 25","4","0.25","1575000","Balken","Kurang Laris"
"37","Samarinda Oven 400 x 3 x 20","1","0.024","262800","Papan","Kurang Laris"
"38","Samarinda Oven 400 x 4 x 25","10","0.4","442000","Papan","Sangat Laris"
"39","Meranti Oven  400 x 6 x 15","4","0.144","244800","Balok","Sangat Laris"
"40","Samarinda Oven 400 x 3 x 30","1","0.036","396000","Papan","Sangat Laris"
"41","Samarinda Oven 400 x 4 x 30","1","0.048","528000","Papan","Sangat Laris"
"42","Samarinda Oven 500 x 4 x 30","2","0.12","660000","Papan","Cukup Laris"
"43","Merbau Oven 400 x 5 x 25","5","0.25","1235000","Balken","Kurang Laris"
"44","Merbau Oven 500 x 5 x 20","5","0.25","1260000","Balken","Kurang Laris"
"45","Merbau Oven 250 x 4 x 25","1","0.025","615000","Papan","Cukup Laris"
"46","Merbau Basah 260 x 6 x 15","1","0.0234","517140","Balok","Cukup Laris"
"47","Merbau Oven 400 x 5 x 35","6","0.42","1855000","Balken","Kurang Laris"
"48","Merbau Oven 500 x 5 x 30","10","0.75","1920000","Balken","Kurang Laris"
"49","Merbau Oven 500 x 5 x 35","12","1.05","2362500","Balken","Kurang Laris"
"50","Merbau Oven 500 x 6 x 15","8","0.36","1039500","Balok","Cukup Laris"
"51","Merbau Oven 400 x 6 x 12","1","0.0288","650880","Balok","Cukup Laris"
"52","SO Merah 400 x 3 x 30","5","0.18","360000","Papan","Kurang Laris"
"53","Samarinda Oven 250 x 4 x 25","3","0.075","270000","Papan","Cukup Laris"
"54","Samarinda Oven 400 x 4 x 25","9","0.36","432000","Papan","Sangat Laris"
"55","Samarinda Oven 500 x 4 x 25","1","0.05","540000","Papan","Sangat Laris"
"56","Samarinda Oven 500 x 5 x 15","5","0.1875","416250","Balok","Sangat Laris"
"57","SO Merah 400 x 6 x 15","2","0.072","331200","Balok","Kurang Laris"
"58","Samarinda Oven 400 x 3 x 30","1","0.036","396000","Papan","Sangat Laris"
"59","Samarinda Oven 400 x 4 x 20","1","0.032","342400","Papan","Sangat Laris"
"60","Samarinda Oven 500 x 4 x 25","1","0.05","540000","Papan","Sangat Laris"
"61","Merbau Oven 300 x 4 x 30","2","0.072","903600","Papan","Kurang Laris"
"62","Merbau Oven 500 x 5 x 25","6","0.375","1575000","Balken","Kurang Laris"
"63","Merbau Oven 300 x 5 x 30","3","0.135","1129500","Balken","Kurang Laris"
"64","Merbau Oven 300 x 5 x 25","2","0.075","926250","Balken","Kurang Laris"
"65","Merbau Basah 500 x 5 x 20","1","0.05","1240000","Balken","Kurang Laris"
"66","SO Merah 400 x 3 x 20","1","0.024","232800","Papan","Sangat Laris"
"67","SO Merah 400 x 6 x 15","3","0.108","331200","Balok","Kurang Laris"
"68","Samarinda Oven 400 x 3 x 25","2","0.06","324000","Papan","Sangat Laris"
"69","Samarinda Oven 400 x 4 x 20","2","0.064","342400","Papan","Sangat Laris"
"70","Samarinda Oven 500 x 4 x 25","1","0.05","540000","Papan","Sangat Laris"
"71","Merbau Basah 100 x 6 x 15","4","0.036","186300","Balok","Cukup Laris"
"72","Merbau Basah 180 x 6 x 15","1","0.0162","335340","Balok","Cukup Laris"
"73","Merbau Basah 220 x 6 x 15","4","0.0792","437580","Balok","Kurang Laris"
"74","Merbau Basah 240 x 6 x 15","8","0.1728","477360","Balok","Kurang Laris"
"75","Merbau Basah 90 x 6 x 15","2","0.0162","167670","Balok","Cukup Laris"
"76","Merbau Oven 250 x 4 x 25","1","0.025","615000","Papan","Cukup Laris"
"77","Merbau Oven 500 x 3 x 25","2","0.075","941250","Papan","Kurang Laris"
"78","Samarinda Oven 500 x 4 x 25","2","0.1","540000","Papan","Sangat Laris"
"79","Samarinda Oven 500 x 4 x 30","1","0.06","660000","Papan","Cukup Laris"
"80","Samarinda Oven 400 x 4 x 20","5","0.16","350400","Papan","Sangat Laris"
"81","Merbau Oven 400 x 5 x 25","10","0.5","1235000","Balken","Kurang Laris"
"82","Merbau Oven 500 x 5 x 30","20","1.5","1920000","Balken","Kurang Laris"
"83","Samarinda Oven 400 x 4 x 25","4","0.16","442000","Papan","Sangat Laris"
"84","Samarinda Oven 400 x 6 x 15","4","0.144","376200","Balok","Sangat Laris"
"85","Merbau Basah 400 x 2 x 20","1","0.016","425600","Papan","Cukup Laris"
"86","Merbau Basah 450 x 2 x 20","6","0.108","478800","Papan","Kurang Laris"
"87","Samarinda Oven 400 x 3 x 30","12","0.432","396000","Papan","Sangat Laris"
"88","Samarinda Oven 500 x 5 x 15","2","0.075","416250","Balok","Sangat Laris"
"89","Merbau Oven 500 x 3 x 30","2","0.09","1152000","Papan","Kurang Laris"
"90","Merbau Basah 150 x 6 x 15","1","0.0135","279450","Balok","Cukup Laris"
"91","Merbau Basah 220 x 6 x 15","4","0.0792","437580","Balok","Kurang Laris"
"92","Merbau Oven 400 x 3 x 25","1","0.03","738000","Papan","Kurang Laris"
"93","Merbau Oven 250 x 4 x 30","4","0.12","753000","Papan","Kurang Laris"
"94","Merbau Oven 300 x 4 x 30","1","0.036","903600","Papan","Kurang Laris"
"95","Merbau Oven 400 x 4 x 15","1","0.024","566400","Papan","Kurang Laris"
"96","Merbau Oven 300 x 4 x 20","1","0.024","588000","Papan","Kurang Laris"
"97","Samarinda Oven 400 x 5 x 20","1","0.04","440000","Balken","Kurang Laris"
"98","Merbau Oven 400 x 5 x 20","1","0.04","988000","Balken","Kurang Laris"
"99","Merbau Oven 400 x 5 x 25","10","0.5","1235000","Balken","Kurang Laris"
"100","Merbau Oven 400 x 5 x 35","6","0.42","1855000","Balken","Kurang Laris"
"101","Samarinda Oven 250 x 6 x 15","1","0.0225","240750","Balok","Sangat Laris"
"102","Samarinda Oven 450 x 6 x 15","2","0.081","433350","Balok","Cukup Laris"
"103","SB Basah 400 x 4 x 6","2","0.0192","94080","Papan","Kurang Laris"
"104","Samarinda Oven 300 x 4 x 25","2","0.06","324000","Papan","Cukup Laris"
"105","Samarinda Oven 450 x 4 x 25","1","0.045","486000","Papan","Kurang Laris"
"106","Samarinda Oven 400 x 3 x 30","4","0.144","405000","Papan","Sangat Laris"
"107","Samarinda Oven 450 x 6 x 15","3","0.1215","445500","Balok","Cukup Laris"
"108","Merbau Oven 400 x 8 x 12","1","0.0384","867840","Balken","Kurang Laris"
"109","Merbau Oven 400 x 5 x 30","3","0.18","1464000","Balken","Kurang Laris"
"110","Merbau Oven 400 x 6 x 35","1","0.084","2167200","Balken","Kurang Laris"
"111","Samarinda Oven 400 x 6 x 15","1","0.036","313200","Balok","Sangat Laris"
"112","Samarinda Oven 500 x 6 x 15","2","0.09","414000","Balok","Cukup Laris"
"113","Merbau Basah 300 x 6 x 15","2","0.054","583200","Balok","Kurang Laris"
"114","Merbau Basah 500 x 8 x 15","2","0.12","1362000","Balken","Kurang Laris"
"115","Merbau Oven 400 x 5 x 15","2","0.06","678000","Balok","Kurang Laris"
"116","Merbau Oven 500 x 5 x 20","3","0.15","1225000","Balken","Kurang Laris"
"117","Merbau Basah 210 x 6 x 15","10","0.189","408240","Balok","Kurang Laris"
"118","Merbau Basah 250 x 6 x 15","20","0.45","499500","Balok","Cukup Laris"
"119","Samarinda Oven 400 x 5 x 15","3","0.09","280500","Balok","Sangat Laris"
"120","Samarinda Oven 400 x 6 x 17","2","0.0816","381480","Balok","Cukup Laris"
"121","Samarinda Oven 500 x 5 x 15","7","0.2625","371250","Balok","Sangat Laris"
"122","Samarinda Oven 250 x 6 x 15","5","0.1125","207000","Balok","Sangat Laris"
"123","Samarinda Oven 400 x 6 x 15","1","0.036","313200","Balok","Sangat Laris"
"124","Samarinda Oven 450 x 6 x 15","1","0.0405","372600","Balok","Cukup Laris"
"125","Samarinda Oven 500 x 6 x 15","2","0.09","414000","Balok","Cukup Laris"
"126","Samarinda Oven 400 x 4 x 25","5","0.2","372000","Papan","Sangat Laris"
"127","Samarinda Oven 250 x 6 x 15","16","0.36","207000","Balok","Sangat Laris"
"128","Samarinda Oven 300 x 6 x 15","3","0.081","234900","Balok","Sangat Laris"
"129","Merbau Oven 250 x 6 x 15","1","0.0225","508500","Balok","Sangat Laris"
"130","Merbau Oven 500 x 6 x 12","1","0.036","813600","Balok","Kurang Laris"
"131","Samarinda Oven 250 x 6 x 15","7","0.1575","207000","Balok","Sangat Laris"
"132","Samarinda Oven 400 x 4 x 25","6","0.24","372000","Papan","Sangat Laris"
"133","Merbau Oven 400 x 3 x 30","11","0.396","878400","Papan","Cukup Laris"
"134","Merbau Oven 400 x 4 x 25","15","0.6","956000","Papan","Cukup Laris"
"135","Merbau Oven 500 x 3 x 30","3","0.135","1120500","Papan","Kurang Laris"
"136","Merbau Oven 500 x 4 x 30","2","0.12","1494000","Papan","Kurang Laris"
"137","Merbau Oven 500 x 5 x 35","4","0.35","2301250","Balken","Kurang Laris"
"138","Merbau Oven 250 x 4 x 25","8","0.2","597500","Papan","Cukup Laris"
"139","Merbau Oven 400 x 4 x 25","1","0.04","956000","Papan","Cukup Laris"
"140","Merbau Oven 500 x 3 x 30","5","0.225","1120500","Papan","Kurang Laris"
"141","Merbau Oven 500 x 5 x 30","4","0.3","1867500","Balken","Kurang Laris"
"142","Samarinda Oven 400 x 3 x 20","1","0.024","220800","Papan","Kurang Laris"
"143","Samarinda Oven 500 x 5 x 15","1","0.0375","360000","Balok","Sangat Laris"
"144","Samarinda Oven 400 x 6 x 12","10","0.288","250560","Balok","Sangat Laris"
"145","Merbau Oven 250 x 4 x 25","1","0.025","597500","Papan","Cukup Laris"
"146","Samarinda Oven 400 x 4 x 20","1","0.032","294400","Papan","Sangat Laris"
"147","Samarinda Oven 400 x 5 x 15","4","0.12","273000","Balok","Sangat Laris"
"148","Samarinda Oven 400 x 6 x 15","8","0.288","313200","Balok","Sangat Laris"
"149","Samarinda Oven 400 x 3 x 30","1","0.036","342000","Papan","Sangat Laris"
"150","Samarinda Oven 400 x 6 x 17","10","0.408","371280","Balok","Cukup Laris"
"151","Samarinda Oven 500 x 6 x 17","2","0.102","489600","Balok","Cukup Laris"
"152","Merbau Basah 400 x 5 x 7","2","0.028","309400","Kaso","Kurang Laris"
"153","Bangkirai 400 x 8 x 15","2","0.096","864000","Balken","Kurang Laris"
